Date,Total_Consumption
2021-12-07,66.62658797192084
2021-12-08,6.654046880189428
2021-12-09,64.15182758511779
2021-12-10,71.6667388214507
2021-12-11,67.37701646706888
2021-12-12,27.268554311347636
2021-12-13,21.789938782151673
2021-12-14,85.92054005520961
2021-12-15,86.98208692512239
2021-12-16,89.8864420639224
2021-12-17,95.02557988065297
2021-12-18,68.04113286415713
2021-12-19,64.47810967575369
2021-12-20,10.552370911746081
2021-12-21,104.36357027889915
2021-12-22,59.4366799115148
2021-12-23,100.14721139615507
2021-12-24,52.657827847071665
2021-12-25,66.05160590826478
2021-12-26,47.741310565602966
2021-12-27,48.97358072324192
2021-12-28,95.92298966747846
2021-12-29,53.40960090027257
2021-12-30,56.41732979790588
2021-12-31,41.37039827611359
2022-01-01,11.8
2022-01-02,9.2
2022-01-03,2.5
2022-01-04,21.8
2022-01-05,12.3
2022-01-06,5.0
2022-01-07,6.1
2022-01-08,6.2
2022-01-09,10.4
2022-01-10,15.4
2022-01-11,2.4
2022-01-12,22.9
2022-01-13,24.4
2022-01-14,18.9
2022-01-15,12.4
2022-01-16,9.9
2022-01-17,21.2
2022-01-18,8.0
2022-01-19,8.7
2022-01-20,23.0
2022-01-21,30.6
2022-01-22,13.2
2022-01-23,8.6
2022-01-24,18.5
2022-01-25,8.1
2022-01-26,8.2
2022-01-27,13.6
2022-01-28,20.6
2022-01-29,9.8
2022-01-30,9.8
2022-01-31,15.9
2022-02-01,5.7
2022-02-02,7.4
2022-02-03,2.5
2022-02-04,11.0
2022-02-05,6.0
2022-02-06,11.7
2022-02-07,10.5
2022-02-08,4.9
2022-02-09,12.5
2022-02-10,17.9
2022-02-11,9.5
2022-02-12,21.4
2022-02-13,8.8
2022-02-14,17.6
2022-02-15,10.7
2022-02-16,9.3
2022-02-17,12.8
2022-02-18,30.3
2022-02-19,13.8
2022-02-20,20.5
2022-02-21,14.6
2022-02-22,19.7
2022-02-23,6.0
2022-02-24,3.4
2022-02-25,2.4
2022-02-26,2.7
2022-02-27,2.5
2022-02-28,2.5
2022-03-01,22.8
2022-03-02,90.0
2022-03-03,17.4
2022-03-04,42.6
2022-03-05,32.099999999999994
2022-03-06,73.19999999999999
2022-03-07,33.0
2022-03-08,22.5
2022-03-09,31.5
2022-03-10,41.400000000000006
2022-03-11,11.1
2022-03-12,32.7
2022-03-13,37.8
2022-03-14,41.7
2022-03-15,40.8
2022-03-16,44.7
2022-03-17,39.0
2022-03-18,82.80000000000001
2022-03-19,46.8
2022-03-20,53.7
2022-03-21,51.3
2022-03-22,26.700000000000003
2022-03-23,27.6
2022-03-24,74.69999999999999
2022-03-25,77.4
2022-03-26,29.700000000000003
2022-03-27,30.0
2022-03-28,67.5
2022-03-29,33.900000000000006
2022-03-30,30.9
2022-03-31,85.80000000000001
2022-04-01,82.19999999999999
2022-04-02,83.69999999999999
2022-04-03,70.19999999999999
2022-04-04,50.400000000000006
2022-04-05,34.8
2022-04-06,36.3
2022-04-07,45.900000000000006
2022-04-08,28.200000000000003
2022-04-09,53.400000000000006
2022-04-10,38.1
2022-04-11,42.6
2022-04-12,57.6
2022-04-13,20.1
2022-04-14,20.4
2022-04-15,25.5
2022-04-16,33.0
2022-04-17,38.1
2022-04-18,31.200000000000003
2022-04-19,31.5
2022-04-20,26.1
